accuracy,loss,val_accuracy,val_loss
0.6343749761581421,0.7039982676506042,0.6875,0.5635563731193542
0.723437488079071,0.5408069491386414,0.6875,0.5640430450439453
0.731249988079071,0.5241132974624634,0.71875,0.5305033922195435
0.734375,0.5156462788581848,0.699999988079071,0.5595577955245972
0.7328125238418579,0.5147122144699097,0.7250000238418579,0.5296977758407593
0.7640625238418579,0.47275686264038086,0.699999988079071,0.5695807337760925
0.7484375238418579,0.5065809488296509,0.643750011920929,0.6316412687301636
0.7890625,0.4617946147918701,0.71875,0.5626881718635559
0.7828124761581421,0.45770445466041565,0.6937500238418579,0.5983160734176636
0.7875000238418579,0.4429696202278137,0.71875,0.6066018342971802
0.7749999761581421,0.45997658371925354,0.699999988079071,0.5724676847457886
0.796875,0.4542478024959564,0.731249988079071,0.5418322682380676
0.828125,0.40080422163009644,0.643750011920929,0.7066189050674438
0.8218749761581421,0.40676063299179077,0.643750011920929,0.6743574142456055
0.8125,0.4098089635372162,0.668749988079071,0.6534401178359985
